manager_mcc_id,brand_id,client_mcc_id,client_id,adw_campaign_id,adw_adgroup_id,adw_ad_id,factor,timp,tviews,tclicks,tcost,mimp,mviews,mclicks,mcost,cpv,cpm,cpc,ctr,view_rate,percent_imp,percent_views,percent_clicks,percent_cost,zimp,zviews,zclicks,zcost,zcpv,zcpm,zcpc,rankimp,rankclicks,rankviews,rankcost,rankcpv,rankcpm,rankcpc,rankctr,rankviewrate,indeximp,indexviews,indexclicks,indexcost,indexcpv,indexcpm,indexcpc,indexctr,index_viewrate,factor_name,factor_value
4716165769,4449603758,3294327511,6172611447,965415296,,,adw_date:2017-11-08,57925,16536,20,1345.08,108859.8548,34079.66129,28.9516129,2909.783343,0.081342525,23.22106172,67.254,0.000345274,0.285472594,0.008582358,0.007826066,0.011142061,0.007455826,-0.491387203,-0.565301988,-0.346480741,-0.552019942,0.137407838,-0.478133317,-1.175588424,41,36.5,42,42,29,19,8,54,4,0.344262295,0.327868852,0.418032787,0.327868852,0.508196721,0.344262295,0.163934426,0.918032787,0.098360656,adw_date,11/8/2017
4716165769,4449603758,3294327511,6172611447,965415296,,,adw_date:2017-11-09,60701,17722,26,1440.4,108859.8548,34079.66129,28.9516129,2909.783343,0.081277508,23.72942785,55.4,0.000428329,0.291955651,0.008993659,0.008387369,0.01448468,0.007984188,-0.464606114,-0.527086011,-0.114245001,-0.518391497,0.132479579,-0.368378872,-1.629596,40,26,41,41,28,20,4,59,8,0.360655738,0.344262295,0.590163934,0.344262295,0.491803279,0.360655738,0.098360656,1,0.163934426,adw_date,11/9/2017
4716165769,4449603758,3294327511,6172611447,965415296,,,adw_date:2017-11-10,28668,9576,9,784.84,108859.8548,34079.66129,28.9516129,2909.783343,0.081959064,27.37686619,87.20444444,0.000313939,0.334030975,0.004247545,0.004532076,0.005013928,0.004350396,-0.7736402,-0.789571128,-0.772246264,-0.749669965,0.184141053,0.419090128,-0.411487451,51,46,51,46,31,35,21,47,45,0.180327869,0.180327869,0.262295082,0.262295082,0.540983607,0.606557377,0.37704918,0.803278689,0.770491803,adw_date,11/10/2017
4716165769,4449603758,3294327511,6172611447,965415296,,,adw_date:2017-11-11,0,0,0,0,108859.8548,34079.66129,28.9516129,2909.783343,,,,,,0,0,0,0,-1.050210898,-1.098134531,-1.120599873,-1.026557807,,,,61,61,61,61,61,61,61,61,61,0.016393443,0.016393443,0.016393443,0.016393443,0.016393443,0.016393443,0.016393443,0.016393443,0.016393443,adw_date,11/11/2017
4716165769,4449603758,3294327511,6172611447,965415296,,,adw_date:2017-11-15,53125,15758,7,1283.5,108859.8548,34079.66129,28.9516129,2909.783343,0.081450692,24.16,183.3571429,0.000131765,0.296621176,0.007871174,0.007457858,0.003899721,0.007114486,-0.537694562,-0.590371153,-0.849658177,-0.573745075,0.145606768,-0.275419872,3.271155839,43,51.5,43,43,30,21,59,1,10,0.31147541,0.31147541,0.172131148,0.31147541,0.524590164,0.37704918,1,0.049180328,0.196721311,adw_date,11/15/2017
4716165769,4449603758,3294327511,6172611447,965415296,,,adw_date:2017-11-16,65489,20323,20,1675.47,108859.8548,34079.66129,28.9516129,2909.783343,0.082442061,25.5839912,83.7735,0.000305395,0.310326925,0.009703065,0.009618356,0.011142061,0.00928719,-0.418414524,-0.443275086,-0.346480741,-0.435459912,0.220751838,0.032014778,-0.542892443,38,36.5,40,40,32,26,15,43,23,0.393442623,0.360655738,0.418032787,0.360655738,0.557377049,0.459016393,0.278688525,0.737704918,0.409836066,adw_date,11/16/2017
4716165769,4449603758,3294327511,6172611447,965415296,,,adw_date:2017-11-17,90206,29818,23,2733.01,108859.8548,34079.66129,28.9516129,2909.783343,0.091656382,30.29743033,118.8265217,0.000254972,0.330554509,0.013365216,0.014112097,0.01281337,0.015149171,-0.179960571,-0.137321712,-0.230362871,-0.0623648,0.919190881,1.049629565,0.799636445,29,30,30,26,49,51,50,22,42,0.540983607,0.524590164,0.524590164,0.590163934,0.836065574,0.868852459,0.852459016,0.393442623,0.721311475,adw_date,11/17/2017
4716165769,4449603758,3294327511,6172611447,965415296,,,adw_date:2017-11-18,102569,31845,27,2917.61,108859.8548,34079.66129,28.9516129,2909.783343,0.091619092,28.44533924,108.0596296,0.000263237,0.310473925,0.015196959,0.015071424,0.015041783,0.016172416,-0.060690181,-0.072006547,-0.075539044,0.002761208,0.916364358,0.649769668,0.387265044,26,24,28,23,48,43,40,27,24,0.590163934,0.557377049,0.62295082,0.639344262,0.819672131,0.737704918,0.68852459,0.475409836,0.426229508,adw_date,11/18/2017
4716165769,4449603758,3294327511,6172611447,965415296,,,adw_date:2017-11-19,117703,37422,34,3410.42,108859.8548,34079.66129,28.9516129,2909.783343,0.091134092,28.97479249,100.3064706,0.000288863,0.317935822,0.017439262,0.017710876,0.018941504,0.018904079,0.085313061,0.107698768,0.195402652,0.176622246,0.879601683,0.764076747,0.090319461,24,20.5,24,22,46,47,30,39,31,0.62295082,0.62295082,0.680327869,0.655737705,0.786885246,0.803278689,0.524590164,0.672131148,0.540983607,adw_date,11/19/2017
4716165769,4449603758,3294327511,6172611447,965415296,,,adw_date:2017-11-20,121086,41021,38,3826.61,108859.8548,34079.66129,28.9516129,2909.783343,0.093284172,31.60241481,100.7002632,0.000313827,0.338775746,0.017940498,0.01941419,0.021169916,0.021211035,0.117950101,0.223667825,0.350226479,0.32345211,1.042576173,1.331371087,0.105401695,22,16.5,19,18,53,58,32,46,50,0.655737705,0.704918033,0.745901639,0.721311475,0.901639344,0.983606557,0.557377049,0.786885246,0.852459016,adw_date,11/20/2017
